table_name,cohort_definition_id,cohort_name
slcp_basecohorts,8,Reinf males
slcp_basecohorts,9,Neg females
slcp_basecohorts,10,Neg males
slcp_basecohorts,11,Flu females
slcp_basecohorts,12,Flu males
slcp_overlapccohorts,13,Inf + LC Any + females
slcp_overlapccohorts,14,Inf + LC Any + males
slcp_overlapccohorts,15,Reinf + LC Any + females
slcp_overlapccohorts,16,Reinf + LC Any + males
slcp_overlapccohorts,17,Neg + LC Any + females
slcp_overlapccohorts,18,Neg + LC Any + males
slcp_overlapccohorts,19,Flu + LC Any + females
slcp_overlapccohorts,20,Flu + LC Any + males
slcp_overlapccohorts,21,Inf + LC Code + females
slcp_overlapccohorts,22,Inf + LC Code + males
slcp_overlapccohorts,23,Reinf + LC Code + females
slcp_overlapccohorts,24,Reinf + LC Code + males
slcp_overlapccohorts,25,Neg + LC Code + females
slcp_overlapccohorts,26,Neg + LC Code + males
slcp_overlapccohorts,27,Flu + LC Code + females
slcp_overlapccohorts,28,Flu + LC Code + males
slcp_overlapccohorts,29,Inf + PASC Any + females
slcp_overlapccohorts,30,Inf + PASC Any + males
slcp_overlapccohorts,31,Reinf + PASC Any + females
slcp_overlapccohorts,32,Reinf + PASC Any + males
slcp_overlapccohorts,33,Neg + PASC Any + females
slcp_overlapccohorts,34,Neg + PASC Any + males
slcp_overlapccohorts,35,Flu + PASC Any + females
slcp_overlapccohorts,36,Flu + PASC Any + males
slcp_basecohorts,61,Remdesivir
slcp_basecohorts,62,Bamlanivimab_Etesevimab
slcp_basecohorts,63,Casirivimab_Imdevimab
slcp_basecohorts,64,Sotrovimab
slcp_basecohorts,65,Bebtelovimab
slcp_basecohorts,66,Dexamethasone
slcp_basecohorts,67,Corticosteroids
slcp_basecohorts,68,Baricitinib
slcp_basecohorts,69,Tocilizumab
slcp_basecohorts,70,Ruxolitinib
slcp_basecohorts,71,Anakinra
slcp_basecohorts,72,Tixagevimab_Cilgavimab
slcp_basecohorts,73,Regdanvimab
slcp_basecohorts,74,Covid19_convalescent_plasma
slcp_basecohorts,75,Ivermectin
slcp_basecohorts,76,Fluvoxamine
slcp_basecohorts,77,Colchicine
slcp_basecohorts,78,Hydroxychloroquine
slcp_basecohorts,79,Lopinavir_ritonavir
slcp_basecohorts,80,Nitazoxanide
slcp_basecohorts,81,Immunomodulatory_drugs
slcp_basecohorts,82,Antithrombotic_agents
slcp_basecohorts,83,Antibiotics
slcp_basecohorts,84,Anti_inflammatory_drugs
slcp_basecohorts,85,ACEI
slcp_basecohorts,86,ARB
slcp_basecohorts,87,Metmorfin
slcp_basecohorts,88,HMG-CoA_inhibitors
slcp_basecohorts,89,H-2_receptor_antagonists
slcp_basecohorts,90,Paxlovid
slcp_basecohorts,91,Nirmatrelevir_ritonavir
slcp_basecohorts,92,Molnupiravir
slcp_overlapccohorts,181,Remdesivir
slcp_overlapccohorts,182,Bamlanivimab_Etesevimab
slcp_overlapccohorts,183,Casirivimab_Imdevimab
slcp_overlapccohorts,184,Sotrovimab
slcp_overlapccohorts,185,Bebtelovimab
slcp_overlapccohorts,186,Dexamethasone
slcp_overlapccohorts,187,Corticosteroids
slcp_overlapccohorts,188,Baricitinib
slcp_overlapccohorts,189,Tocilizumab
slcp_overlapccohorts,190,Ruxolitinib
slcp_overlapccohorts,191,Anakinra
slcp_overlapccohorts,192,Tixagevimab_Cilgavimab
slcp_overlapccohorts,193,Regdanvimab
slcp_overlapccohorts,194,Covid19_convalescent_plasma
slcp_overlapccohorts,195,Ivermectin
slcp_overlapccohorts,196,Fluvoxamine
slcp_overlapccohorts,197,Colchicine
slcp_overlapccohorts,198,Hydroxychloroquine
slcp_overlapccohorts,199,Lopinavir_ritonavir
slcp_overlapccohorts,200,Nitazoxanide
slcp_overlapccohorts,201,Immunomodulatory_drugs
slcp_overlapccohorts,202,Antithrombotic_agents
slcp_overlapccohorts,203,Antibiotics
slcp_overlapccohorts,204,Anti_inflammatory_drugs
slcp_overlapccohorts,205,ACEI
slcp_overlapccohorts,206,ARB
slcp_overlapccohorts,207,Metmorfin
slcp_overlapccohorts,208,HMG-CoA_inhibitors
slcp_overlapccohorts,209,H-2_receptor_antagonists
slcp_overlapccohorts,210,Paxlovid
slcp_overlapccohorts,211,Nirmatrelevir_ritonavir
slcp_overlapccohorts,212,Molnupiravir
slcp_hucohorts,1,1_ICU
slcp_hucohorts,2,2_Ventilation
slcp_hucohorts,3,3_Tracheostomy
slcp_hucohorts,4,4_ECMO
slcp_trajcohort,1,LC any + code Trajectories
